"symbol,date,price"
"Breakfast,April 2013,57.78"
"Home Care,April 2013,72.89"
"Home Care,April 2013,23.11"
"Home Care,April 2013,23.11"
"Home Care,April 2013,168.89"
"Home Care,April 2013,23.11"
"Home Care,April 2013,44.44"
"Snacks,April 2013,26.67"
"Snacks,April 2013,26.67"
"Other Foods,April 2013,35.24"
"Hair Care,April 2013,52.36"
"Hair Care,April 2013,114"
"Hair Care,April 2013,114"
"OTC,April 2013,18.57"
"OTC,April 2013,18.57"
"OTC,April 2013,18.57"
"Spices,April 2013,15.43"
"Spices,April 2013,30.86"
"Spices,April 2013,15.43"
"Spices,April 2013,18.1"
"Spices,April 2013,36.19"
"Spices,April 2013,36.19"
"Snacks,April 2013,66.71"
"Soap,April 2013,61.33"
"Home Care,April 2013,120.89"
"Home Care,April 2013,52.58"
"Home Care,April 2013,41.78"
"Home Care,April 2013,52.44"
"Staples,April 2013,130"
"Facial Care,April 2013,115.56"
"Facial Care,April 2013,105.78"
"Facial Care,April 2013,105.78"
"Spices,April 2013,33.33"
"Home Care,April 2013,106.67"
"Home Care,April 2013,42.86"
"Home Care,April 2013,42.86"
"Home Care,April 2013,76.19"
"Biscuits,April 2013,14.67"
"Biscuits,April 2013,14.36"
"Beverages,April 2013,151.16"
"Beverages,April 2013,186.67"
"Baby Care,April 2013,50.67"
"Baby Care,April 2013,147.78"
"Baby Care,April 2013,54.89"
"Staples,April 2013,115"
"Staples,April 2013,315"
"Staples,April 2013,430"
"Staples,April 2013,340"
"Staples,April 2013,340"
"Staples,April 2013,340"
"Staples,April 2013,385"
"Staples,April 2013,385"
"Staples,April 2013,375"
"Baby Care,April 2013,67.56"
"Spices,April 2013,114.29"
"Spices,April 2013,57.14"
"Spices,April 2013,23.81"
"Spices,April 2013,23.81"
"Spices,April 2013,23.81"
"Spices,April 2013,57.14"
"Baby Care,April 2013,74.31"
"Baby Care,April 2013,32"
"Baby Care,April 2013,34.22"
"Baby Care,April 2013,55.56"
"Baby Care,April 2013,126.67"
"Baby Care,April 2013,161.78"
"Facial Care,April 2013,36"
"Facial Care,April 2013,36.27"
"Facial Care,April 2013,32"
"Others,April 2013,20"
"Others,April 2013,20"
"Dryfruits,April 2013,57.14"
"Dryfruits,April 2013,142.86"
"Snacks,April 2013,51.11"
"Dryfruits,April 2013,45.71"
"Dryfruits,April 2013,114.29"
"Staples,April 2013,30"
"Staples,April 2013,30"
"Staples,April 2013,60"
"Staples,April 2013,30"
"Spices,April 2013,11.43"
"Spices,April 2013,28.57"
"Staples,April 2013,100"
"Staples,April 2013,55.24"
"Breakfast,April 2013,118.22"
"Breakfast,April 2013,30.4"
"Snacks,April 2013,32"
"Staples,April 2013,76.19"
"Dryfruits,April 2013,18.1"
"Dryfruits,April 2013,42.86"
"Dryfruits,April 2013,42.86"
"Dryfruits,April 2013,42.86"
"Other Foods,April 2013,94.76"
"Other Foods,April 2013,43.81"
"Other Foods,April 2013,22.38"
"Beverages,April 2013,104.05"
"Other Foods,April 2013,41.9"
"Ready to Cook,April 2013,32.89"
"Ready to Cook,April 2013,65.78"
"Ready to Cook,April 2013,67.56"
"Ready to Cook,April 2013,33.78"
"Noodles/Pasta,April 2013,20.44"
"Other PC,April 2013,152"
"Facial Care,April 2013,41.39"
"Baby Care,April 2013,203.56"
"Facial Care,April 2013,123.56"
"Facial Care,April 2013,67.56"
"Facial Care,April 2013,72"
"Facial Care,April 2013,190"
"Facial Care,April 2013,190"
"Home Care,April 2013,47.11"
"Home Care,April 2013,47.11"
"Soap,April 2013,18.22"
"Agarbatti,April 2013,47.5"
"Agarbatti,April 2013,47.5"
"Home Care,April 2013,30.22"
"Soap,April 2013,64.89"
"Soap,April 2013,40.53"
"Tea,April 2013,125.76"
"Tea,April 2013,90.48"
"Tea,April 2013,90.48"
"Oral Care,April 2013,92.89"
"Home Care,April 2013,181.56"
"Home Care,April 2013,52.44"
"Home Care,April 2013,50.67"
"Staples,April 2013,40"
"Staples,April 2013,40"
"Spices,April 2013,13.33"
"Spices,April 2013,13.33"
"Hair Care,April 2013,126.67"
"Hair Care,April 2013,194.22"
"Hair Care,April 2013,49.82"
"Hair Care,April 2013,58.27"
"Home Care,April 2013,42.67"
"Soap,April 2013,67.56"
"Soap,April 2013,60.44"
"Soap,April 2013,60.44"
"Soap,April 2013,47.11"
"Agarbatti,April 2013,12"
"Agarbatti,April 2013,24"
"Dairy,April 2013,226.67"
"Dryfruits,April 2013,34.29"
"Noodles/Pasta,April 2013,8.71"
"Noodles/Pasta,April 2013,30.22"
"Spices,April 2013,5.33"
"Spices,April 2013,13.33"
"Noodles/Pasta,April 2013,33.78"
"Noodles/Pasta,April 2013,67.56"
"Noodles/Pasta,April 2013,68.89"
"Noodles/Pasta,April 2013,17.33"
"Noodles/Pasta,April 2013,17.33"
"Noodles/Pasta,April 2013,17.33"
"Other Foods,April 2013,67.86"
"Other Foods,April 2013,101.9"
"Noodles/Pasta,April 2013,16.44"
"Noodles/Pasta,April 2013,65.78"
"Noodles/Pasta,April 2013,32.89"
"Noodles/Pasta,April 2013,16.44"
"Dryfruits,April 2013,61.9"
"Dryfruits,April 2013,61.9"
"Staples,April 2013,35"
"Baby Care,April 2013,399.2"
"Agarbatti,April 2013,47"
"Agarbatti,April 2013,10"
"Agarbatti,April 2013,10"
"Agarbatti,April 2013,14.5"
"Agarbatti,April 2013,10"
"Staples,April 2013,38.57"
"Staples,April 2013,28"
"Staples,April 2013,56"
"Staples,April 2013,28"
"Staples,April 2013,28"
"Staples,April 2013,56"
"Staples,April 2013,30"
"Home care,April 2013,45.6"
"Home Care,April 2013,45.6"
"Home Care,April 2013,45.6"
"Cosmetics,April 2013,147.78"
"Facial Care,April 2013,71.78"
"Spices,April 2013,21.43"
"Spices,April 2013,21.43"
"Spices,April 2013,17.14"
"Staples,April 2013,35"
"Others,April 2013,95.24"
"Staples,April 2013,70"
"Others,April 2013,18"
"Others,April 2013,14.25"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Staples,April 2013,74"
"Staples,April 2013,80"
"Staples,April 2013,40"
"Staples,April 2013,38"
"Staples,April 2013,38"
"Staples,April 2013,38"
"Staples,April 2013,30.95"
"Staples,April 2013,30.95"
"Staples,April 2013,61.9"
"Home Care,April 2013,40"
"Oral Care,April 2013,40"
"Home Care,April 2013,46.22"
"Home Care,April 2013,60"
"Home Care,April 2013,45.6"
"Home Care,April 2013,45.6"
"Home Care,April 2013,45.6"
"Home Care,April 2013,49.78"
"Spices,April 2013,24.76"
"Other Foods,April 2013,59.71"
"Home Care,April 2013,33.78"
"Staples,April 2013,150"
"Home Care,April 2013,108.89"
"Snacks,April 2013,53.33"
"Snacks,April 2013,44.44"
"Baby Care,April 2013,315.56"
"Spices,April 2013,36.19"
"Spices,April 2013,17.14"
"Staples,April 2013,91.43"
"Staples,April 2013,95.24"
"Staples,April 2013,54.29"
"Staples,April 2013,96"
"Cosmetics,April 2013,38.1"
"Coffee,April 2013,93.81"
"Coffee,April 2013,50.48"
"Coffee,April 2013,25.78"
"Dairy,April 2013,64.89"
"Dairy,April 2013,307.56"
"Staples,April 2013,440"
"Staples,April 2013,440"
"Staples,April 2013,220"
"Staples,April 2013,120"
"Staples,April 2013,120"
"Other PC,April 2013,127.29"
"Other PC,April 2013,127.29"
"Soap,April 2013,51.56"
"Soap,April 2013,50.67"
"Dairy,April 2013,82.86"
"Staples,April 2013,29"
"Staples,April 2013,29"
"Staples,April 2013,58"
"Staples,April 2013,29"
"Staples,April 2013,58"
"Other PC,April 2013,56.19"
"Home Care,April 2013,35.24"
"Home Care,April 2013,36.19"
"Home Care,April 2013,37.33"
"Home Care,April 2013,27.02"
"Home Care,April 2013,33.78"
"Home Care,April 2013,36.31"
"Facial Care,April 2013,632.49"
"Oral Care,April 2013,29.33"
"Oral Care,April 2013,11.82"
"Oral Care,April 2013,75.56"
"Oral Care,April 2013,58.27"
"Hair Care,April 2013,158.4"
"Baby Care,April 2013,198.44"
"Staples,April 2013,34"
"Staples,April 2013,102"
"Staples,April 2013,170"
"Hair Care,April 2013,52.89"
"Hair Care,April 2013,117.33"
"Hair Care,April 2013,22.86"
"Hair Care,April 2013,60"
"Other PC,April 2013,177.33"
"Soap,April 2013,92.89"
"Biscuits,April 2013,34.67"
"Soap,April 2013,41.78"
"Beverages,April 2013,391.11"
"Beverages,April 2013,391.11"
"Oral Care,April 2013,12.44"
"Oral Care,April 2013,64"
"Beverages,April 2013,52.5"
"Beverages,April 2013,52.5"
"Beverages,April 2013,50"
"Beverages,April 2013,25"
"Beverages,April 2013,16.67"
"Oral Care,April 2013,35.56"
"Oral Care,April 2013,64.44"
"Oral Care,April 2013,23.11"
"Chocolates,April 2013,4.44"
"Snacks,April 2013,30"
"Staples,April 2013,180"
"Home Care,April 2013,20"
"Facial Care,April 2013,256"
"Other PC,April 2013,114"
"Facial Care,April 2013,126.22"
"Other PC,April 2013,41.78"
"Other PC,April 2013,48"
"Other PC,April 2013,48"
"Facial Care,April 2013,58.27"
"Snacks,April 2013,38.22"
"Beverages,April 2013,281.2"
"Hair Care,April 2013,51.56"
"Chocolates,April 2013,100"
"Staples,April 2013,16"
"Staples,April 2013,16"
"Staples,April 2013,16"
"Staples,April 2013,32"
"Staples,April 2013,16"
"Staples,April 2013,32"
"Staples,April 2013,16"
"Staples,April 2013,18"
"Staples,April 2013,18"
"Staples,April 2013,18"
"Staples,April 2013,49"
"Staples,April 2013,98"
"Staples,April 2013,98"
"Staples,April 2013,37"
"Beverages,April 2013,76.9"
"Beverages,April 2013,76.9"
"Beverages,April 2013,76.9"
"Beverages,April 2013,153.81"
"Beverages,April 2013,76.9"
"Tea,April 2013,100.95"
"Other PC,April 2013,168.04"
"Other PC,April 2013,139.33"
"Soap,April 2013,56.89"
"Soap,April 2013,85.33"
"Staples,April 2013,135"
"Staples,April 2013,210"
"Staples,April 2013,210"
"Staples,April 2013,210"
"Fabric Wash,April 2013,16.89"
"Fabric Wash,April 2013,51.56"
"Fabric Wash,April 2013,146.67"
"Beverages,April 2013,180.95"
"Beverages,April 2013,90.48"
"Staples,April 2013,19.05"
"Staples,April 2013,38.1"
"Breakfast,April 2013,25.78"
"Breakfast,April 2013,25.78"
"Breakfast,April 2013,12.89"
"Breakfast,April 2013,12.89"
"Staples,April 2013,130.48"
"OTC,April 2013,142.86"
"Oral Care,April 2013,40.44"
"Spices,April 2013,8.57"
"Home Care,April 2013,12.86"
"Home Care,April 2013,162.86"
"Dish Wash,April 2013,37.78"
"Dish Wash,April 2013,20"
"Home Care,April 2013,20"
"Dish Wash,April 2013,32.89"
"Dish Wash,April 2013,32.89"
"Dish Wash,April 2013,49.78"
"Dish Wash,April 2013,12.89"
"Dish Wash,April 2013,55.11"
"Dish Wash,April 2013,21.33"
"Dish Wash,April 2013,71.78"
"Oral Care,April 2013,77.78"
"Oral Care,April 2013,72.89"
"Ready to Cook,April 2013,126"
"Staples,April 2013,115"
"Staples,April 2013,115"
"Staples,April 2013,215"
"Staples,April 2013,215"
"Staples,April 2013,115"
"Staples,April 2013,115"
"Staples,April 2013,115"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Staples,April 2013,37"
"Others,April 2013,8.57"
"Others,April 2013,8.57"
"Other Foods,April 2013,42.86"
"Ready to Cook,April 2013,31.11"
"Staples,April 2013,16"
"Womens Care,April 2013,44.44"
"Womens Care,April 2013,18.67"
"Biscuits,April 2013,17.07"
"Biscuits,April 2013,8.53"
"other foods,April 2013,202.67"
"Biscuits,April 2013,9.78"
"Biscuits,April 2013,8.44"
"Hair Care,April 2013,159.6"
"Staples,April 2013,790.48"
"Biscuits,April 2013,16.89"
"Biscuits,April 2013,8.53"
"Biscuits,April 2013,16.98"
"Biscuits,April 2013,34.13"
"Noodles/Pasta,April 2013,34.67"
"Hair Care,April 2013,92.89"
"Hair Care,April 2013,92.89"
"Fabric Wash,April 2013,70.09"
"Fabric Wash,April 2013,76.44"
"Fabric Wash,April 2013,164.69"
"Fabric Wash,April 2013,164.69"
"Fabric Wash,April 2013,60"
"Tea,April 2013,76.9"
"Tea,April 2013,63.81"
"Tea,April 2013,205.24"
"Beverages,April 2013,166.22"
"Beverages,April 2013,106.67"
"Staples,April 2013,15"
"Staples,April 2013,15"
"Staples,April 2013,15"
"Staples,April 2013,15"
"Staples,April 2013,15"
"Tea,April 2013,103.14"
"Tea,April 2013,53.38"
"Tea,April 2013,170.1"
"Tea,April 2013,127.57"
"Tea,April 2013,153.81"
"Tea,April 2013,76.9"
"Staples,April 2013,35"
"Fabric Wash,April 2013,78.67"
"Fabric Wash,April 2013,78.67"
"Fabric Wash,April 2013,44.44"
"Fabric Wash,April 2013,44.44"
"Fabric Wash,April 2013,44.44"
"Fabric Wash,April 2013,287.96"
"Fabric Wash,April 2013,38"
"Fabric Wash,April 2013,38"
"Fabric Wash,April 2013,38"
"Fabric Wash,April 2013,155.38"
"Noodles/Pasta,April 2013,30.22"
"Noodles/Pasta,April 2013,44.44"
"Noodles/Pasta,April 2013,32.89"
"Other Foods,April 2013,20.44"
"Ready to Cook,April 2013,90.67"
"Other Foods,April 2013,73.33"
"Other Foods,April 2013,54.29"
"Staples,April 2013,28"
"Fabric Wash,April 2013,81.9"
"Staples,April 2013,28"
"Staples,April 2013,33"
"Staples,April 2013,33"
"Staples,April 2013,36"
"Ready to Cook,April 2013,48.98"
"Home Care,April 2013,50.67"
"Other PC,April 2013,59.56"
"Other PC,April 2013,141.33"
"Facial Care,April 2013,150.22"
"Other PC,April 2013,124.44"
"Hair Care,April 2013,56.89"
"Womens Care,April 2013,74.22"
"Other Foods,April 2013,63.11"
"Facial Care,April 2013,121.9"
"Dish Wash,April 2013,32.89"
"Dish Wash,April 2013,82.76"
"Other Foods,April 2013,15.11"
"Soap,April 2013,92.89"
"Soap,April 2013,8.67"
"Facial Care,April 2013,126.67"
"Facial Care,April 2013,35.56"
"Tea,April 2013,78.1"
"Womens Care,April 2013,21.11"
"Womens Care,April 2013,24.49"
"Womens Care,April 2013,29.56"
"Womens Care,April 2013,98.8"
"Womens Care,April 2013,464.44"
"Womens Care,April 2013,126.67"
"Breakfast,April 2013,81.43"
"Dish Wash,April 2013,25.78"
"Dish Wash,April 2013,17.07"
"Dish Wash,April 2013,33.78"
"Staples,April 2013,70"
"Dairy,April 2013,57.78"
"Staples,April 2013,140"
"Staples,April 2013,215"
"Dairy,April 2013,33.78"
"Biscuits,April 2013,23.64"
"Biscuits,April 2013,50.67"
"Spices,April 2013,36.86"
"Staples,April 2013,62"
"Staples,April 2013,36"
"Staples,April 2013,70"
"Staples,April 2013,105"
"Hair Care,April 2013,146.67"
"Spices,April 2013,16.19"
"Home Care,April 2013,28.89"
"Staples,April 2013,271.43"
"Staples,April 2013,209.52"
"Beverages,April 2013,34.4"
"Agarbatti,April 2013,56"
"Home Care,April 2013,50.67"
"Spices,April 2013,36.19"
"Snacks,April 2013,33.78"
"Home Care,April 2013,137.78"
"Staples,April 2013,30"
"Noodles/Pasta,April 2013,68.89"
"Staples,April 2013,56"
"Staples,April 2013,25"
"Spices,April 2013,17.14"
"Staples,April 2013,40"
"Staples,April 2013,38"
"Dairy,April 2013,615.11"
"Soap,April 2013,69.33"
"Staples,April 2013,180"
